Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,SPRING,Location
1958,-0.68,2.97,0.46,4.9,13.75,14.25,16.99,16.91,14.85,7.5,3.1,1.97,8.08,6.37,liestal
1959,-0.44,0.87,6.42,8.48,12.52,15.41,18.8,16.13,14.35,8.05,2.13,2.06,8.73,9.14,liestal
1960,-0.81,1.62,5.35,7.37,13.07,16.05,14.74,15.53,11.33,7.92,5.44,-0.07,8.13,8.6,liestal
1961,-0.26,4.19,5.64,10.28,10.51,15.61,15.69,15.83,16.59,9.6,3.31,1.1,9.01,8.81,liestal
1962,0.92,-0.32,0.77,7.53,9.93,14.43,16.08,17.92,13.12,8.63,1.72,-3.36,7.28,6.07,liestal
1963,-6.3,-4.72,2.47,8.46,10.96,14.69,17.69,15.04,13.5,8.24,6.69,-2.8,6.99,7.3,liestal
1964,-2.99,1.77,2.33,8.67,13.42,16.32,18.79,15.94,13.71,6.96,4.52,-0.92,8.21,8.14,liestal
1965,0.33,-3.26,3.12,6.02,11.01,15.4,15.19,15.11,11.24,8.09,3.14,2.33,7.31,6.72,liestal
1966,-2.48,4.93,2.77,8.95,12.35,16.26,15.16,14.79,14.19,11,1.59,1.1,8.38,8.02,liestal
1967,-0.56,1.9,4.91,6.43,11.46,14.17,18.68,16.27,12.73,10.87,3.87,-1.6,8.26,7.6,liestal
1968,-1.39,1.2,4.09,8.62,10.87,14.92,16.32,14.59,12.18,10.43,3.37,-1.01,7.85,7.86,liestal
1969,0.19,-1.62,3.24,6.85,12.78,12.88,17.74,15.5,13.81,9.26,4.25,-4.01,7.57,7.62,liestal
1970,-0.64,0.37,1.06,5.09,10.65,16.24,16.58,16.53,13.82,7.92,5.26,-1.08,7.65,5.6,liestal
1971,-2.11,-0.25,-0.06,9.89,13.27,13.43,18.31,17.59,12.38,9.21,2.27,0.68,7.88,7.7,liestal
1972,-0.55,2.67,5.55,6.7,10.82,13.65,16.26,15.45,10.21,6.8,3.95,-0.61,7.58,7.69,liestal
1973,-1.15,-0.79,2.43,4.55,12.8,15.46,16.37,17.99,14.15,7.17,3.24,0.01,7.69,6.59,liestal
1974,2.51,2.56,6.1,7.57,10.77,13.57,16.31,17.34,12.71,3.89,3.75,3.15,8.35,8.15,liestal
1975,2.9,1.23,2.79,7.01,11.56,13.54,17.07,16.86,15.06,7.03,3.83,-0.79,8.17,7.12,liestal
1976,0.6,0.87,2.88,7.16,12.81,17.6,18.29,15.24,11.79,9.77,3.84,-1.5,8.28,7.62,liestal
1977,0.18,3.97,6.55,5.77,11.01,14.36,16.39,15.12,11.96,9.93,4.2,1.08,8.38,7.78,liestal
1978,-0.16,-0.14,4.39,6.39,10.41,13.87,15.78,14.87,12.7,7.76,2.66,1.56,7.51,7.06,liestal
1979,-2.96,1.65,4.49,5.65,11.45,15.4,16.78,15.04,13.25,9.76,3.19,2.89,8.05,7.2,liestal
1980,-1.53,2.73,4.06,5.34,10.1,13.29,14.53,17.1,14.17,7.8,2.39,-1.25,7.39,6.5,liestal
1981,-2.27,-1.58,6.68,9,11.5,15.04,15.68,16.98,13.71,8.67,3.66,0.26,8.11,9.06,liestal
1982,0.58,0.51,3.44,6.83,12.21,16,18.53,16.13,15.18,8.7,5.17,2.19,8.79,7.49,liestal
1983,2.02,-1.78,4.77,8.17,9.91,16.16,21.28,17.49,14.02,9.11,3.11,0.76,8.75,7.62,liestal
1984,0.4,-0.81,1.82,6.64,9.26,14.56,17.35,16.46,12.22,9.5,5.79,1.22,7.87,5.91,liestal
1985,-5.4,-0.87,2.44,7.78,11.74,13.67,18.62,16.72,14.95,9.45,0.97,2.59,7.72,7.32,liestal
1986,0.33,-5.01,3.13,5.65,13.85,15.44,17.22,16.62,13.42,10.3,4.66,1.14,8.06,7.54,liestal
1987,-4.31,0.63,0.97,8.87,9.27,13.63,17.47,16.83,16.27,10.21,4.67,2.07,8.05,6.37,liestal
1988,3.19,1.17,2.97,8.62,13.35,14.9,17.33,17.49,13.48,10.36,2.65,2.02,8.96,8.32,liestal
1989,0.54,2.53,7.26,6.77,13.69,14.82,18.14,17.22,13.55,9.95,2.47,2,9.08,9.24,liestal
1990,0.28,5.64,6.52,6.61,14.07,14.69,17.8,18.27,13,10.91,3.8,-0.53,9.26,9.06,liestal
1991,0.43,-1.64,6.61,6.86,9.26,14.29,19.1,19.01,15.84,8.07,3.76,-0.79,8.4,7.58,liestal
1992,-1.23,1.27,5.32,7.88,14.17,15.09,18.3,20.05,13.98,7.45,6.07,0.79,9.09,9.12,liestal
1993,2.67,-0.77,3.71,9.7,13.79,16.19,16.56,17.36,12.53,7.7,1.35,3.31,8.67,9.06,liestal
1994,2.05,1.91,8.46,6.59,12.79,16.31,20.65,18.86,13.35,9.17,7.39,3.04,10.05,9.28,liestal
1995,-0.32,4.38,3.12,8.42,12.28,14.08,20.07,17.15,11.54,12.21,3.65,0.06,8.89,7.94,liestal
1996,0.21,-0.82,2.66,8.77,11.88,16.59,16.7,16.23,10.64,9.07,4.23,-0.38,7.98,7.77,liestal
1997,-1.46,3.69,6.81,7.35,12.92,15.23,16.24,18.9,14.68,8.73,4.41,2.12,9.14,9.03,liestal
1998,1.43,3.08,5.01,7.87,13.99,16.64,18.22,17.93,13.03,9.41,1.47,0.44,9.04,8.96,liestal
1999,1.46,-0.81,5.28,8,14.57,14.76,18.34,17.52,16.05,9.29,1.86,1.42,8.98,9.28,liestal
2000,-0.58,3.26,5.33,9.32,14.51,17.4,15.57,18.43,14.57,9.91,5.27,3.57,9.71,9.72,liestal
2001,1.33,2.74,6.66,6.41,14.74,14.84,18.15,18.65,11.07,12.68,2.45,-0.75,9.08,9.27,liestal
2002,0,4.75,6.36,8.44,12.18,18.45,17.57,16.86,12.46,9.59,6.1,3.31,9.67,8.99,liestal
2003,-0.53,-1.94,6.68,8.83,14.05,21.65,19.57,21.93,14.02,6.49,5.18,1.3,9.77,9.85,liestal
2004,0.57,1.51,3.75,8.8,11.59,16.08,17.57,17.96,14.67,11.2,3.77,0.36,8.99,8.05,liestal
2005,-0.4,-1.88,4.69,8.7,13.21,17.91,18.04,15.92,15.05,10.66,3.48,-1.1,8.69,8.87,liestal
2006,-2.27,-0.36,2.77,8.25,12.83,17.37,21.86,14.5,16.5,12.37,6.67,2.16,9.39,7.95,liestal
2007,3.66,4.28,5.12,12.98,14.02,16.77,17.17,16.61,12.57,8.9,2.64,0.29,9.58,10.71,liestal
2008,2.65,3.05,4.07,7.43,14.65,16.85,17.85,17.27,12.14,9.5,4.23,0.2,9.16,8.71,liestal
2009,-2.22,0.06,4.01,11,15.12,16.11,18.38,19.45,15.11,9.25,6.82,0.73,9.49,10.04,liestal
2010,-2.24,0.35,4.02,9.45,11.27,16.35,19.83,16.78,12.82,8.58,4.69,-1.13,8.4,8.25,liestal
2011,0.72,2.19,5.96,11.84,14.8,16.36,16.05,18.76,15.91,9.34,5.24,3.08,10.02,10.87,liestal
2012,1.62,-3.83,7.3,8.44,13.77,17.11,17.71,19.09,13.87,9.67,5.44,1.51,9.31,9.84,liestal
2013,0.19,-1.64,2.48,8.55,10.44,15.68,19.99,18.16,14.35,11.26,3.74,1.26,8.71,7.16,liestal
2014,2.63,3.51,6.57,10.38,12.1,17.42,17.28,16.02,14.82,12.12,6.71,2.71,10.19,9.68,liestal
2015,1.45,-0.34,5.88,9.5,13.54,17.68,21.8,19.49,12.84,8.79,6.92,3.85,10.12,9.64,liestal
2016,2.34,3.5,4.16,8.49,12.3,16.06,19.07,18.62,16.29,8.34,4.81,0.56,9.54,8.32,liestal
2017,-2.95,3.63,7.84,8.46,14.09,19.31,19.11,19.08,12.58,10.75,4.2,0.97,9.76,10.13,liestal
2018,4.31,-1.51,3.56,12.43,14.62,17.93,20.38,19.96,15.95,10.87,5.32,3.14,10.58,10.2,liestal
2019,-0.38,3.12,6.43,8.69,10.44,18.9,20.3,18.65,14.85,11.44,4.93,3.61,10.08,8.52,liestal
2020,2.05,5.51,5.47,11.8,13.46,16.04,19.57,19.15,15.48,8.98,5.54,2.12,10.43,10.24,liestal
2021,0.23,3.77,4.93,7.36,10.51,18.34,17.6,16.82,15.64,9.17,3.48,1.85,9.14,7.6,liestal
2022,0.89,,,,,,,,,,,,,,liestal
