year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,SPRING,Location
1988,-0.56,2.94,8.44,12.44,18.78,23.56,27.72,27.06,20.5,12.44,9.94,3.72,13.94,13.22,washingtondc
1989,4.39,3.22,7.83,13,17.83,24.89,25.72,25.06,21.89,15.83,8.89,-2.28,13.83,12.89,washingtondc
1990,6.44,7.33,10.11,13.78,17.94,23.89,26.33,24.72,20.89,17.11,11.11,6.94,15.56,13.94,washingtondc
1991,3.67,6.11,9.33,14.56,22.78,24.89,27.44,26.67,21.67,15.78,9.33,5.72,15.67,15.56,washingtondc
1992,3.44,5.11,7.22,13,16.83,22.06,26.39,23.33,20.67,13.33,9.33,4.22,13.72,12.33,washingtondc
1993,4.28,1.28,5.67,12.67,19.67,24.06,28.39,26.44,21.67,14.5,9.33,3.39,14.28,12.67,washingtondc
1994,-1.78,2.39,7.44,16.67,17.28,26.33,27.67,24.17,21.22,15.06,11.83,6.78,14.61,13.78,washingtondc
1995,4.22,1.28,9.56,13.5,18.78,23.67,27.5,27.39,21.61,16.83,6.17,2,14.39,13.94,washingtondc
1996,0.5,2.94,6.06,13.78,17.72,25.11,25.33,24.72,21.44,15.22,6.72,6.11,13.83,12.5,washingtondc
1997,2.78,7.06,9.28,12.22,17.17,22.83,26.89,25.33,21.39,15.33,7.89,5,14.44,12.89,washingtondc
1998,6.11,6.33,8.28,14.11,19.72,22.78,26.06,26.33,24.11,15.61,10.17,6.89,15.56,14.06,washingtondc
1999,3.44,5,6.94,13.61,19.61,23.72,28.33,26.5,21.11,14,11.72,5.56,14.94,13.39,washingtondc
2000,2.17,5.83,10.94,13.11,19.89,23.72,23.72,23.94,19.78,15.67,8.17,-0.11,13.89,14.67,washingtondc
2001,1.94,4.94,6.56,14.22,18.83,24,24.06,26.06,20.5,15.39,12.67,7.5,14.72,13.22,washingtondc
2002,5.33,5.89,8.72,15.56,18.44,24.5,27.17,27.28,22.78,14.83,8.39,2.89,15.17,14.22,washingtondc
2003,-0.5,0.94,8.39,12.83,16.5,21.89,25.44,26,21.39,14.17,11.72,4,13.56,12.56,washingtondc
2004,-0.78,3.44,9.33,14.11,22.11,23,25.89,24.39,22,14.61,10.56,4.5,14.44,15.17,washingtondc
2005,2.28,4.22,6.17,14.06,16.61,24.28,26.94,26.72,23.89,15.83,10.11,2.44,14.44,12.28,washingtondc
2006,6.17,3.67,8.83,15.28,18.39,23.61,26.89,27,19.89,14.06,10.39,6.78,15.06,14.17,washingtondc
2007,4.83,-0.61,8.72,12,19.89,24.5,26.28,26.5,22.72,19.5,9.89,5.44,15,13.56,washingtondc
2008,4.44,5,9.44,14.94,18.17,25.5,27.11,25.5,23.33,14.94,8.11,4.61,15.11,14.17,washingtondc
2009,-0.17,4.33,7.33,13.89,18.61,23.17,24.94,26.61,21.22,14.72,11.22,3.28,14.11,13.28,washingtondc
2010,1.83,1.22,10.67,16.06,20.78,27,28.39,26.78,24.17,16.44,10.28,1.44,15.44,15.83,washingtondc
2011,0.94,5.44,7.56,14.89,20.22,26,29.17,26.67,21.83,14.67,11.33,7.22,15.5,14.22,washingtondc
2012,4.89,6.89,13.78,14.61,21.89,24.61,28.89,27.22,22.33,16.11,8.11,7.44,16.39,16.78,washingtondc
2013,4.61,3.56,6.56,14.94,19.28,24.72,27.33,25.06,21.83,16.89,8.11,5.72,14.89,13.61,washingtondc
2014,0.11,3.22,6.06,14.06,20.28,25.11,26.33,25.39,23.22,17.17,8.89,6.5,14.72,13.44,washingtondc
2015,2,-0.94,7.39,15.22,22.89,25.61,27.5,26.28,23.83,14.94,12.06,10.67,15.61,15.17,washingtondc
2016,1.61,4.39,11.94,13.83,17.72,24.56,28.17,28.17,24.44,17.28,11.44,5.44,15.78,14.5,washingtondc
2017,5.61,8.72,8.44,17.67,18.61,25.17,27.61,25.22,22.5,18.28,9.89,4,16,14.89,washingtondc
2018,2.06,7.39,6.44,12.72,22.44,24.56,27.06,27.22,24.17,17,8.06,6.39,15.44,13.89,washingtondc
2019,2.89,5.67,8.22,16.89,21.67,24.67,27.83,26.72,24.72,17.83,7.83,5.67,15.89,15.61,washingtondc
2020,5.78,6.56,11.78,12.94,17.67,25,28.83,26.44,21.22,16.61,12.39,5.22,15.89,14.11,washingtondc
2021,3.67,3.22,10.67,14.56,18.94,24.78,27.17,27.17,22.89,19.06,8.83,8.67,15.78,14.72,washingtondc
